benchmark,language,repo,instance_id,pr_number,title,repo_url,pr_url,safety_policy_url
Multi-SWE-bench,Rust,nushell/nushell,nushell__nushell-13870,13870,Don't raise error if external program failed in the middle of pipeline,https://github.com/nushell/nushell,https://github.com/nushell/nushell/pull/13870,https://github.com/nushell/nushell/blob/main/devdocs/rust_style.md
Multi-SWE-bench,Rust,nushell/nushell,nushell__nushell-13357,13357,Overhaul `$in` expressions,https://github.com/nushell/nushell,https://github.com/nushell/nushell/pull/13357,https://github.com/nushell/nushell/blob/main/devdocs/rust_style.md
Multi-SWE-bench,Rust,nushell/nushell,nushell__nushell-12901,12901,Clear environment for child `Command`s,https://github.com/nushell/nushell,https://github.com/nushell/nushell/pull/12901,https://github.com/nushell/nushell/blob/main/devdocs/rust_style.md
Multi-SWE-bench,Rust,nushell/nushell,nushell__nushell-12118,12118,Use XDG_CONFIG_HOME before default config directory,https://github.com/nushell/nushell,https://github.com/nushell/nushell/pull/12118,https://github.com/nushell/nushell/blob/main/devdocs/rust_style.md
Multi-SWE-bench,Rust,nushell/nushell,nushell__nushell-11948,11948,`to json -r` not removing whitespaces fix,https://github.com/nushell/nushell,https://github.com/nushell/nushell/pull/11948,https://github.com/nushell/nushell/blob/main/devdocs/rust_style.md
Multi-SWE-bench,Rust,nushell/nushell,nushell__nushell-11672,11672,Fix precedence of 'not' operator,https://github.com/nushell/nushell,https://github.com/nushell/nushell/pull/11672,https://github.com/nushell/nushell/blob/main/devdocs/rust_style.md
Multi-SWE-bench,Rust,nushell/nushell,nushell__nushell-11493,11493,fix: closure captures can also be constants,https://github.com/nushell/nushell,https://github.com/nushell/nushell/pull/11493,https://github.com/nushell/nushell/blob/main/devdocs/rust_style.md
Multi-SWE-bench,Rust,nushell/nushell,nushell__nushell-11292,11292,Remove `into_string_parsable`,https://github.com/nushell/nushell,https://github.com/nushell/nushell/pull/11292,https://github.com/nushell/nushell/blob/main/devdocs/rust_style.md
Multi-SWE-bench,Rust,nushell/nushell,nushell__nushell-11169,11169,Forbid reserved variable names for function arguments,https://github.com/nushell/nushell,https://github.com/nushell/nushell/pull/11169,https://github.com/nushell/nushell/blob/main/devdocs/rust_style.md
Multi-SWE-bench,Rust,nushell/nushell,nushell__nushell-10629,10629,Relax type-check of key-less `table`/`record`,https://github.com/nushell/nushell,https://github.com/nushell/nushell/pull/10629,https://github.com/nushell/nushell/blob/main/devdocs/rust_style.md
Multi-SWE-bench,Rust,nushell/nushell,nushell__nushell-10613,10613,Fix: #7760 Use active overlays `config` value,https://github.com/nushell/nushell,https://github.com/nushell/nushell/pull/10613,https://github.com/nushell/nushell/blob/main/devdocs/rust_style.md
Multi-SWE-bench,Rust,nushell/nushell,nushell__nushell-10405,10405,Allow complex types in input/output and let,https://github.com/nushell/nushell,https://github.com/nushell/nushell/pull/10405,https://github.com/nushell/nushell/blob/main/devdocs/rust_style.md
Multi-SWE-bench,Rust,nushell/nushell,nushell__nushell-10395,10395,Fix panic on too few arguments for custom function,https://github.com/nushell/nushell,https://github.com/nushell/nushell/pull/10395,https://github.com/nushell/nushell/blob/main/devdocs/rust_style.md
Multi-SWE-bench,Rust,nushell/nushell,nushell__nushell-10381,10381,Reduce use of unchecked indexing in parser code,https://github.com/nushell/nushell,https://github.com/nushell/nushell/pull/10381,https://github.com/nushell/nushell/blob/main/devdocs/rust_style.md
